"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US18097","Marion County, Indiana","971822","*****","526517","2994","268634","2705","4231","1151","38178","1064","135","51","55159","3083","78968","3928","36428","3137","42540","2836",
"0500000US18099","Marshall County, Indiana","46225","*****","41653","492","232","76","138","113","311","53","12","20","1782","393","2097","398","1267","365","830","133",
"0500000US18101","Martin County, Indiana","9854","*****","9432","140","15","17","1","3","11","18","0","18","40","69","355","136","146","103","209","82",
"0500000US18103","Miami County, Indiana","35772","*****","31784","223","1340","149","89","44","220","44","66","83","429","195","1844","263","548","173","1296","166",
"0500000US18105","Monroe County, Indiana","139822","*****","116590","479","4973","400","194","130","9282","365","1","4","1541","365","7241","691","2618","356","4623","556",
"0500000US18107","Montgomery County, Indiana","38155","*****","34518","358","251","127","58","82","178","71","29","40","877","309","2244","363","1285","327","959","202",
"0500000US18109","Morgan County, Indiana","72202","*****","68432","392","363","141","13","15","430","117","0","30","527","286","2437","304","934","189","1503","218",
"0500000US18111","Newton County, Indiana","13859","*****","12356","296","141","118","24","18","48","67","0","20","373","134","917","345","667","323","250","126",
"0500000US18113","Noble County, Indiana","47417","*****","42052","481","145","74","68","47","271","79","61","66","935","286","3885","516","2804","481","1081","191",
"0500000US18115","Ohio County, Indiana","5993","*****","5696","54","21","22","7","10","36","26","0","18","2","5","231","71","51","53","180","34",
"0500000US18117","Orange County, Indiana","19746","*****","18414","253","299","89","7","8","84","30","0","20","38","39","904","255","534","269","370","120",
"0500000US18119","Owen County, Indiana","21434","*****","20472","79","121","113","21","21","118","53","0","24","60","63","642","133","278","84","364","118",
"0500000US18121","Parke County, Indiana","16346","*****","15521","89","367","87","6","9","0","20","0","20","33","25","419","128","182","87","237","95",
"0500000US18123","Perry County, Indiana","19218","*****","17914","65","413","64","54","48","134","46","0","20","53","37","650","106","224","67","426","77",
"0500000US18125","Pike County, Indiana","12187","*****","11678","61","31","33","159","99","6","11","0","20","135","88","178","97","47","44","131","84",
"0500000US18127","Porter County, Indiana","174150","*****","148272","1030","7271","398","181","95","2471","290","37","49","3535","644","12383","1108","8027","999","4356","520",
"0500000US18129","Posey County, Indiana","25163","*****","23672","262","175","94","16","18","73","29","0","24","429","236","798","186","266","151","532","97",
"0500000US18131","Pulaski County, Indiana","12441","*****","11479","80","41","48","6","11","53","20","26","33","337","72","499","115","196","96","303","69",
"0500000US18133","Putnam County, Indiana","37091","*****","33996","232","1269","183","42","30","574","117","0","27","104","56","1106","337","515","227","591","204",
"0500000US18135","Randolph County, Indiana","24425","*****","22331","217","192","134","32","32","103","50","17","29","779","324","971","253","536","228","435","169",
"0500000US18137","Ripley County, Indiana","29039","*****","27677","247","65","50","0","24","149","91","0","24","399","237","749","141","205","99","544","89",
"0500000US18139","Rush County, Indiana","16734","*****","16060","108","109","100","0","20","11","27","0","20","92","85","462","140","173","114","289","102",
"0500000US18141","St. Joseph County, Indiana","272574","*****","196634","967","34362","1016","753","264","6953","356","205","69","8632","1040","25035","1783","13291","1204","11744","1069",
"0500000US18143","Scott County, Indiana","24468","*****","23213","210","75","83","69","92","4","7","10","19","264","175","833","154","328","111","505","125",
