"GEO_ID","NAME","B03003_001E","B03003_001M","B03003_002E","B03003_002M","B03003_003E","B03003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0500000US02110","Juneau City and Borough, Alaska","31969","*****","29735","*****","2234","*****",
"0500000US02122","Kenai Peninsula Borough, Alaska","59843","*****","57296","*****","2547","*****",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13870","*****","13140","*****","730","*****",
"0500000US02150","Kodiak Island Borough, Alaska","12878","*****","11827","*****","1051","*****",
"0500000US02158","Kusilvak Census Area, Alaska","8277","*****","8141","104","136","104",
"0500000US02164","Lake and Peninsula Borough, Alaska","1007","99","996","100","11","11",
"0500000US02170","Matanuska-Susitna Borough, Alaska","110677","*****","104929","*****","5748","*****",
"0500000US02180","Nome Census Area, Alaska","9925","*****","9718","*****","207","*****",
"0500000US02185","North Slope Borough, Alaska","10891","*****","10313","*****","578","*****",
"0500000US02188","Northwest Arctic Borough, Alaska","7611","*****","7452","*****","159","*****",
"0500000US02195","Petersburg Borough, Alaska","3394","*****","3091","116","303","116",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5730","*****","5523","*****","207","*****",
"0500000US02220","Sitka City and Borough, Alaska","8393","*****","7818","*****","575","*****",
"0500000US02230","Skagway Municipality, Alaska","1308","76","1244","110","64","69",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6936","*****","6534","*****","402","*****",
"0500000US02275","Wrangell City and Borough, Alaska","2106","*****","1990","60","116","60",
"0500000US02282","Yakutat City and Borough, Alaska","506","66","482","68","24","22",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5271","*****","5162","*****","109","*****",
"0500000US04001","Apache County, Arizona","65680","*****","61588","*****","4092","*****",
"0500000US04003","Cochise County, Arizona","125458","*****","82381","*****","43077","*****",
"0500000US04005","Coconino County, Arizona","144643","*****","122609","*****","22034","*****",
"0500000US04007","Gila County, Arizona","53610","*****","44081","*****","9529","*****",
"0500000US04009","Graham County, Arizona","38860","*****","27091","*****","11769","*****",
"0500000US04011","Greenlee County, Arizona","9452","*****","5056","*****","4396","*****",
"0500000US04012","La Paz County, Arizona","16605","*****","12375","*****","4230","*****",
"0500000US04013","Maricopa County, Arizona","4491987","*****","3104267","*****","1387720","*****",
"0500000US04015","Mohave County, Arizona","217420","*****","181125","*****","36295","*****",
"0500000US04017","Navajo County, Arizona","107744","*****","96278","*****","11466","*****",
"0500000US04019","Pima County, Arizona","1049947","*****","670399","*****","379548","*****",
"0500000US04021","Pinal County, Arizona","449219","*****","317448","*****","131771","*****",
"0500000US04023","Santa Cruz County, Arizona","48209","*****","8334","*****","39875","*****",
"0500000US04025","Yavapai County, Arizona","241656","*****","205431","*****","36225","*****",
"0500000US04027","Yuma County, Arizona","207685","*****","73942","*****","133743","*****",
"0500000US05001","Arkansas County, Arkansas","16773","*****","16112","*****","661","*****",
"0500000US05003","Ashley County, Arkansas","18722","*****","17565","*****","1157","*****",
"0500000US05005","Baxter County, Arkansas","42150","*****","40993","*****","1157","*****",
"0500000US05007","Benton County, Arkansas","294541","*****","241153","*****","53388","*****",
"0500000US05009","Boone County, Arkansas","37896","*****","36776","*****","1120","*****",
"0500000US05011","Bradley County, Arkansas","10354","*****","8736","*****","1618","*****",
"0500000US05013","Calhoun County, Arkansas","4717","*****","4173","179","544","179",
"0500000US05015","Carroll County, Arkansas","28526","*****","24103","*****","4423","*****",
"0500000US05017","Chicot County, Arkansas","9997","*****","9369","*****","628","*****",
"0500000US05019","Clark County, Arkansas","21378","*****","20232","*****","1146","*****",
"0500000US05021","Clay County, Arkansas","14399","*****","14279","80","120","80",
"0500000US05023","Cleburne County, Arkansas","25048","*****","24335","*****","713","*****",
"0500000US05025","Cleveland County, Arkansas","7491","*****","7468","30","23","30",
"0500000US05027","Columbia County, Arkansas","22527","*****","21770","*****","757","*****",
"0500000US05029","Conway County, Arkansas","20872","*****","19922","*****","950","*****",
"0500000US05031","Craighead County, Arkansas","112097","*****","105198","*****","6899","*****",
"0500000US05033","Crawford County, Arkansas","60792","*****","55842","*****","4950","*****",
"0500000US05035","Crittenden County, Arkansas","47609","*****","46133","*****","1476","*****",
"0500000US05037","Cross County, Arkansas","16681","*****","16314","*****","367","*****",
"0500000US05039","Dallas County, Arkansas","6351","*****","6259","56","92","56",
"0500000US05041","Desha County, Arkansas","11041","*****","10276","*****","765","*****",
"0500000US05043","Drew County, Arkansas","17143","*****","16437","*****","706","*****",
"0500000US05045","Faulkner County, Arkansas","126001","*****","119052","*****","6949","*****",
"0500000US05047","Franklin County, Arkansas","17220","*****","16672","*****","548","*****",
"0500000US05049","Fulton County, Arkansas","12239","*****","12031","*****","208","*****",
"0500000US05051","Garland County, Arkansas","100062","*****","92883","*****","7179","*****",
"0500000US05053","Grant County, Arkansas","18111","*****","17621","*****","490","*****",
"0500000US05055","Greene County, Arkansas","46182","*****","44504","*****","1678","*****",
"0500000US05057","Hempstead County, Arkansas","19778","*****","16823","*****","2955","*****",
"0500000US05059","Hot Spring County, Arkansas","33142","*****","31819","*****","1323","*****",
"0500000US05061","Howard County, Arkansas","12701","*****","11142","*****","1559","*****",
"0500000US05063","Independence County, Arkansas","38120","*****","34807","*****","3313","*****",
"0500000US05065","Izard County, Arkansas","13866","*****","13478","*****","388","*****",
"0500000US05067","Jackson County, Arkansas","16775","*****","16260","*****","515","*****",
"0500000US05069","Jefferson County, Arkansas","65780","*****","64149","*****","1631","*****",
"0500000US05071","Johnson County, Arkansas","25932","*****","22393","*****","3539","*****",
"0500000US05073","Lafayette County, Arkansas","6211","*****","6162","46","49","46",
"0500000US05075","Lawrence County, Arkansas","16265","*****","15917","*****","348","*****",
"0500000US05077","Lee County, Arkansas","8511","*****","8262","*****","249","*****",
"0500000US05079","Lincoln County, Arkansas","12966","*****","12327","*****","639","*****",
"0500000US05081","Little River County, Arkansas","11959","*****","11514","*****","445","*****",
